session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,noise_1,independent,True,correct,7,7,,False,
2,pi_establish,independent,True,correct,18,18,,False,
3,pi_consume_1,dependent,False,wrong,,16,,False,
4,cs_establish,independent,True,correct,yes,yes,,False,
5,pi_consume_2,dependent,False,wrong,,753,,False,
6,pt_establish,independent,True,correct,39,39,,False,
7,pi_consume_3,dependent,False,wrong,,8,,False,
8,cs_consume_4,dependent,False,wrong,3,5,,False,
9,noise_3,independent,True,correct,1,1,,False,
10,ew_establish,independent,True,correct,70,70,,False,
11,hv_establish,independent,True,correct,6,6,,False,
12,hv_consume_4,dependent,False,wrong,,18,,False,
13,pi_consume_4,dependent,False,wrong,,33,,False,
14,cs_consume_1,dependent,False,wrong,,yes,,False,
15,ew_revise,independent,True,correct,58,58,,False,
16,hv_consume_2,dependent,False,wrong,,4,,False,
17,cs_consume_3,dependent,False,wrong,,5062,,False,
18,ew_trap_2,trap,False,wrong_other,,3,,False,
19,ew_trap_1,trap,False,wrong_other,,8,,False,
20,pt_revise,independent,True,correct,38,38,,False,
21,hv_consume_1,dependent,False,wrong,,6,,False,
22,hv_consume_3,dependent,False,wrong,,26,,False,
23,noise_2,independent,True,correct,2170,2170,,False,
24,pt_trap_4,trap,False,wrong_other,,6,,False,
25,ew_trap_3,trap,False,wrong_other,,22,,False,
26,pt_trap_1,trap,False,wrong_other,,7,,False,
27,pt_trap_3,trap,False,wrong_other,,6,,False,
28,cs_consume_2,dependent,True,correct,yes,yes,,False,
29,pt_trap_2,trap,False,wrong_other,,6,,False,
30,ew_trap_4,trap,False,wrong_other,,58,,False,
