session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,noise_1,independent,True,correct,7,7,,False,
2,pi_establish,independent,True,correct,18,18,,False,
3,pi_consume_1,dependent,True,correct,16,16,2,False,2
4,cs_establish,independent,True,correct,yes,yes,,False,2
5,pi_consume_2,dependent,True,correct,753,753,2,False,2;3;4
6,pt_establish,independent,True,correct,39,39,,False,1;2;4;5
7,pi_consume_3,dependent,True,correct,8,8,2,False,1;2;3;5
8,cs_consume_4,dependent,True,correct,5,5,4,False,4;6;7
9,noise_3,independent,True,correct,1,1,,False,4;6;7;8
10,ew_establish,independent,False,wrong,69,70,,False,2;4;5;6
11,hv_establish,independent,True,correct,6,6,,False,4;10
12,hv_consume_4,dependent,True,correct,18,18,11,False,2;3;10;11
13,pi_consume_4,dependent,True,correct,33,33,2,False,2;3;6;7
14,cs_consume_1,dependent,True,correct,yes,yes,8,False,4;8
15,ew_revise,independent,True,correct,58,58,,False,10
16,hv_consume_2,dependent,True,correct,4,4,11,False,10;11;12;15
17,cs_consume_3,dependent,True,correct,5062,5062,8,False,4;8;14
18,ew_trap_2,trap,True,correct,3,3,15,False,10;15
19,ew_trap_1,trap,True,correct,8,8,15,False,10;15;18
20,pt_revise,independent,True,correct,38,38,,False,6;10;18;19
21,hv_consume_1,dependent,True,correct,6,6,11,False,11;12;16;19
22,hv_consume_3,dependent,True,correct,26,26,11,False,11;12;16;21
23,noise_2,independent,True,correct,2170,2170,,False,5;8;17
24,pt_trap_4,trap,True,correct,6,6,20,False,2;6;10;20
25,ew_trap_3,trap,True,correct,22,22,15,False,10;15;18;19
26,pt_trap_1,trap,True,correct,7,7,20,False,6;13;20;24
27,pt_trap_3,trap,True,correct,6,6,20,False,6;20;24;26
28,cs_consume_2,dependent,True,correct,yes,yes,4,False,4;8;14;17
29,pt_trap_2,trap,True,correct,6,6,20,False,20;24;26;27
30,ew_trap_4,trap,True,correct,58,58,15,False,15;18;19;25
