session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,ew_establish,independent,True,correct,70,70,,False,
2,pt_establish,independent,True,correct,39,39,,False,1
3,noise_1,independent,True,correct,7,7,,False,1;2
4,hv_establish,independent,True,correct,6,6,,False,1;2;3
5,cs_establish,independent,True,correct,yes,yes,,False,1;2;3;4
6,ew_revise,independent,True,correct,58,58,,False,1;2;3;4;5
7,cs_consume_3,dependent,True,correct,5062,5062,,False,1;2;3;4;5;6
8,cs_consume_2,dependent,True,correct,yes,yes,5,False,1;2;3;4;5;6;7
9,cs_consume_4,dependent,True,correct,5,5,5,False,1;2;3;4;5;6;7;8
10,pi_establish,independent,True,correct,18,18,,False,1;2;3;4;5;6;7;8;9
11,ew_trap_4,trap,True,correct,58,58,6,False,1;2;3;4;5;6;7;8;9;10
12,pi_consume_4,dependent,True,correct,33,33,10,False,1;2;3;4;5;6;7;8;9;10;11
13,cs_consume_1,dependent,True,correct,yes,yes,5,False,1;2;3;4;5;6;7;8;9;10;11;12
14,hv_consume_1,dependent,True,correct,6,6,4,False,1;2;3;4;5;6;7;8;9;10;11;12;13
15,ew_trap_2,trap,True,correct,3,3,6,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14
16,noise_2,independent,True,correct,2170,2170,,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
17,pi_consume_3,dependent,True,correct,8,8,10,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
18,hv_consume_4,dependent,True,correct,18,18,4,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
19,pi_consume_1,dependent,True,correct,16,16,10,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
20,pi_consume_2,dependent,True,correct,753,753,10,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
21,noise_3,independent,True,correct,1,1,,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
22,ew_trap_1,trap,True,correct,8,8,6,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
23,pt_revise,independent,True,correct,38,38,,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
24,pt_trap_3,trap,True,correct,6,6,23,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
25,hv_consume_2,dependent,True,correct,4,4,4,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
26,pt_trap_2,trap,True,correct,6,6,23,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
27,pt_trap_4,trap,True,correct,6,6,23,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
28,ew_trap_3,trap,True,correct,22,22,6,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
29,pt_trap_1,trap,True,correct,7,7,23,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
30,hv_consume_3,dependent,True,correct,26,26,4,False,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
