session,task_id,task_type,correct,category,final_answer,expected,cited_source_session,memory_truncated,memory_included_sessions
1,noise_3,independent,True,correct,1,1,,False,
2,cs_establish,independent,True,correct,yes,yes,,False,
3,noise_2,independent,True,correct,2170,2170,,False,1;2
4,noise_1,independent,True,correct,7,7,,False,1
5,pt_establish,independent,True,correct,39,39,,False,1;2;4
6,hv_establish,independent,True,correct,6,6,,False,2;3;5
7,ew_establish,independent,True,correct,70,70,,False,1;2;5;6
8,cs_consume_4,dependent,True,correct,5,5,2,False,2;5;6
9,cs_consume_1,dependent,True,correct,yes,yes,8,False,2;8
10,hv_consume_2,dependent,True,correct,4,4,6,False,5;6;7;9
11,hv_consume_1,dependent,True,correct,6,6,6,False,6;7;10
12,pt_revise,independent,True,correct,38,38,,False,4;5;7
13,cs_consume_3,dependent,True,correct,5062,5062,8,False,2;8;9
14,pi_establish,independent,True,correct,18,18,,False,4;6;7
15,pi_consume_1,dependent,True,correct,16,16,14,False,4;6;11;14
16,ew_revise,independent,True,correct,58,58,,False,7
17,ew_trap_3,trap,True,correct,22,22,16,False,7;16
18,ew_trap_4,trap,True,correct,58,58,16,False,7;16;17
19,cs_consume_2,dependent,True,correct,yes,yes,2,False,2;8;9;13
20,ew_trap_1,trap,True,correct,8,8,16,False,7;16;17;18
21,ew_trap_2,trap,True,correct,3,3,16,False,7;17;18;20
22,pt_trap_4,trap,True,correct,6,6,12,False,5;7;12
23,pt_trap_2,trap,True,correct,6,6,12,False,5;7;12;22
24,pi_consume_3,dependent,True,correct,8,8,14,False,4;14;15;17
25,pi_consume_4,dependent,True,correct,33,33,14,False,4;14;15;24
26,pi_consume_2,dependent,True,correct,753,753,14,False,14;15;24;25
27,hv_consume_3,dependent,True,correct,26,26,6,False,6;10;11;24
28,pt_trap_1,trap,True,correct,7,7,12,False,5;12;22;23
29,hv_consume_4,dependent,True,correct,18,18,6,False,6;10;11;27
30,pt_trap_3,trap,True,correct,6,6,12,False,12;22;23;28
